defined_class	defined_class_label	cargo	cargo_label	end	end_label	membrane	membrane_label	start	start_label
http://purl.obolibrary.org/obo/GO_0140484	5-aminolevulinic acid import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_356416	5-ammoniolevulinate	http://purl.obolibrary.org/obo/GO_0005829	cytosol	http://purl.obolibrary.org/obo/GO_0005886	plasma membrane	http://purl.obolibrary.org/obo/GO_0005576	extracellular region
http://purl.obolibrary.org/obo/GO_0070779	D-aspartate import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_29990	D-aspartate(1-)	http://purl.obolibrary.org/obo/GO_0005829	cytosol	http://purl.obolibrary.org/obo/GO_0005886	plasma membrane	http://purl.obolibrary.org/obo/GO_0005576	extracellular region
http://purl.obolibrary.org/obo/GO_0036085	GDP-fucose import into Golgi lumen	http://purl.obolibrary.org/obo/CHEBI_64608	GDP-fucose	http://purl.obolibrary.org/obo/GO_0005796	Golgi lumen	http://purl.obolibrary.org/obo/GO_0000139	Golgi membrane	http://purl.obolibrary.org/obo/GO_0005829	cytosol
http://purl.obolibrary.org/obo/GO_0036084	GDP-fucose import into endoplasmic reticulum lumen	http://purl.obolibrary.org/obo/CHEBI_64608	GDP-fucose	http://purl.obolibrary.org/obo/GO_0005783	endoplasmic reticulum	http://purl.obolibrary.org/obo/GO_0005789	endoplasmic reticulum membrane	http://purl.obolibrary.org/obo/GO_0005829	cytosol
http://purl.obolibrary.org/obo/GO_1904273	L-alanine import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_57972	L-alanine zwitterion	http://purl.obolibrary.org/obo/GO_0005829	cytosol	http://purl.obolibrary.org/obo/GO_0005886	plasma membrane	http://purl.obolibrary.org/obo/GO_0005576	extracellular region
http://purl.obolibrary.org/obo/GO_0097638	L-arginine import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_32682	L-argininium(1+)	http://purl.obolibrary.org/obo/GO_0005829	cytosol	http://purl.obolibrary.org/obo/GO_0005886	plasma membrane	http://purl.obolibrary.org/obo/GO_0005576	extracellular region
http://purl.obolibrary.org/obo/GO_1903811	L-asparagine import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_58048	L-asparagine zwitterion	http://purl.obolibrary.org/obo/GO_0005829	cytosol	http://purl.obolibrary.org/obo/GO_0005886	plasma membrane	http://purl.obolibrary.org/obo/GO_0005576	extracellular region
http://purl.obolibrary.org/obo/GO_0098712	L-glutamate import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_29985	L-glutamate(1-)	http://purl.obolibrary.org/obo/GO_0005829	cytosol	http://purl.obolibrary.org/obo/GO_0005886	plasma membrane	http://purl.obolibrary.org/obo/GO_0005576	extracellular region
http://purl.obolibrary.org/obo/GO_0110141	L-glutamate import into mitochondrion	http://purl.obolibrary.org/obo/CHEBI_29985	L-glutamate(1-)	http://purl.obolibrary.org/obo/GO_0005759	mitochondrial matrix	http://purl.obolibrary.org/obo/GO_0031966	mitochondrial membrane	http://purl.obolibrary.org/obo/GO_0005829	cytosol
http://purl.obolibrary.org/obo/GO_1903803	L-glutamine import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_58359	L-glutamine zwitterion	http://purl.obolibrary.org/obo/GO_0005829	cytosol	http://purl.obolibrary.org/obo/GO_0005886	plasma membrane	http://purl.obolibrary.org/obo/GO_0005576	extracellular region
http://purl.obolibrary.org/obo/GO_1903810	L-histidine import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_57595	L-histidine zwitterion	http://purl.obolibrary.org/obo/GO_0005829	cytosol	http://purl.obolibrary.org/obo/GO_0005886	plasma membrane	http://purl.obolibrary.org/obo/GO_0005576	extracellular region
http://purl.obolibrary.org/obo/GO_1903806	L-isoleucine import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_58045	L-isoleucine zwitterion	http://purl.obolibrary.org/obo/GO_0005829	cytosol	http://purl.obolibrary.org/obo/GO_0005886	plasma membrane	http://purl.obolibrary.org/obo/GO_0005576	extracellular region
http://purl.obolibrary.org/obo/GO_1903801	L-leucine import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_57427	L-leucine zwitterion	http://purl.obolibrary.org/obo/GO_0005829	cytosol	http://purl.obolibrary.org/obo/GO_0005886	plasma membrane	http://purl.obolibrary.org/obo/GO_0005576	extracellular region
http://purl.obolibrary.org/obo/GO_0097639	L-lysine import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_32551	L-lysinium(1+)	http://purl.obolibrary.org/obo/GO_0005829	cytosol	http://purl.obolibrary.org/obo/GO_0005886	plasma membrane	http://purl.obolibrary.org/obo/GO_0005576	extracellular region
http://purl.obolibrary.org/obo/GO_1905544	L-methionine import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_57844	L-methionine zwitterion	http://purl.obolibrary.org/obo/GO_0005829	cytosol	http://purl.obolibrary.org/obo/GO_0005886	plasma membrane	http://purl.obolibrary.org/obo/GO_0005576	extracellular region
http://purl.obolibrary.org/obo/GO_0097640	L-ornithine import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_46911	L-ornithinium(1+)	http://purl.obolibrary.org/obo/GO_0005829	cytosol	http://purl.obolibrary.org/obo/GO_0005886	plasma membrane	http://purl.obolibrary.org/obo/GO_0005576	extracellular region
http://purl.obolibrary.org/obo/GO_1904271	L-proline import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_60039	L-proline zwitterion	http://purl.obolibrary.org/obo/GO_0005829	cytosol	http://purl.obolibrary.org/obo/GO_0005886	plasma membrane	http://purl.obolibrary.org/obo/GO_0005576	extracellular region
http://purl.obolibrary.org/obo/GO_1903807	L-threonine import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_57926	L-threonine zwitterion	http://purl.obolibrary.org/obo/GO_0005829	cytosol	http://purl.obolibrary.org/obo/GO_0005886	plasma membrane	http://purl.obolibrary.org/obo/GO_0005576	extracellular region
